Timestamp,Mode,Data,X,Y,Z
18:53:45:539,RX,208677,-6.047,15.934,7.012
18:53:45:629,RX,208767,-6.047,15.934,7.012
18:53:45:765,RX,208857,-6.047,15.934,7.012
18:53:45:993,RX,208992,-6.047,15.934,7.012
18:53:46:080,RX,209217,-6.047,15.934,7.012
18:53:46:169,RX,209307,-6.047,15.934,7.012
18:53:46:261,RX,209397,-6.047,15.934,7.012
18:53:46:350,RX,209487,-6.047,15.934,7.012
18:53:46:442,RX,209577,-6.047,15.934,7.012
18:53:46:531,RX,209667,-6.047,15.934,7.012
